,English,Swahili,Wikidata,entity_name,occupation_name,gender,url
220,"Bhardwaj rose to prominence after producing a documentaryâMartyrs of Marriage , which covered abuse of criminal section 498A  by brides and their families.","Bhardwaj alijizolea umaarufu baada ya kutengeneza makala yaâMashahidi wa ndoa, ambayo inahusu unyanyasaji wa kijinai, chini ya kifungu namba 498A wa bi harusi na familia zao.",Q65587453,Deepika Narayan Bhardwaj,human rights activist,female,https://en.wikipedia.org/wiki/Deepika_Narayan_Bhardwaj
221,Deepika Narayan Bhardwaj graduated with a B.Tech from Technological Institute of Textile & Sciences  in 2006.,Deepika Narayan Bhardwaj alihitimu shahada ya kwanza ya tekinolojia kutoka taasisi ya tekinolojia ya nguo na sayansi mwaka 2006.,Q65587453,Deepika Narayan Bhardwaj,human rights activist,female,https://en.wikipedia.org/wiki/Deepika_Narayan_Bhardwaj
222,She also exposed a conspiracy of alleged victims in the Rohtak sisters viral video controversy by interviewing the witnesses and collecting proof.,Pia alifichua njama za wanaodaiwa kuathiriwa katika video yenye utata iliyosambaa ya wadada wa Rohtak kwa kuwahoji mashahidi na kukusanya ushahidi.,Q65587453,Deepika Narayan Bhardwaj,human rights activist,female,https://en.wikipedia.org/wiki/Deepika_Narayan_Bhardwaj
223,"They had three children, and divorced in 1962.","Walikuwa na watoto watatu, na waliachana mwaka 1962.",Q16017428,Fran Hosken,human rights activist,female,https://en.wikipedia.org/wiki/Fran_Hosken
224,"She joined the Coast Guard during the Second World War, working in communications.","Alijiunga kulinda pwani wakati wa vita ya pili ya dunia, kufanya kazi katika mawasiliano.",Q16017428,Fran Hosken,human rights activist,female,https://en.wikipedia.org/wiki/Fran_Hosken
225,"Their work was distributed by Knoll, Raymor, and Macy's, and was shown at the Chicago Merchandise Mart and the Milan Triennale.","Kazi zake zilisambazwa na Knoll, Ramornna Macy na kuonyeshwa kwenye soko la bidhaa Chikago na Milan Triennale.",Q16017428,Fran Hosken,human rights activist,female,https://en.wikipedia.org/wiki/Fran_Hosken
226,"She founded the Women's International Network in 1975, and published a quarterly journal on women's health issues that became known, in particular, for its research into female genital mutilation .","Alianzisha Women International Network mwaka 1975, na kuchapisha robo ya jarida la masuala ya afya ya wanawake ambalo baadae lilijulikana katika tafiti za ukeketaji wa wanawake.",Q16017428,Fran Hosken,human rights activist,female,https://en.wikipedia.org/wiki/Fran_Hosken
227,"One of her first projects, a colorful stacking stool, became a commercial and critical success.","Moja ya mradi wake wakwanza, zana zenye rangi nyingi, ilikuwa yenye mafanikio kibiashara.",Q16017428,Fran Hosken,human rights activist,female,https://en.wikipedia.org/wiki/Fran_Hosken
228,"She married James Hosken in 1947, and founded Hosken, Inc in 1947.","Alioana na James Hosken mwaka 1947, na walianzisha Kampuni ya Hosken mwaka 1947.",Q16017428,Fran Hosken,human rights activist,female,https://en.wikipedia.org/wiki/Fran_Hosken
229,"Hosken was born as Franziska Porges in Vienna, where her father Otto Porges was a physician from Bohemia , and emigrated with her family to the United States in 1938.","Hosken alizaliwa kama Franziska Porges huko Vienna, ambapo baba yake Otto Porges alikuwa tabibu kutoka Bohemia , na alihamia na familia yake nchini Marekani mwaka 1938",Q16017428,Fran Hosken,human rights activist,female,https://en.wikipedia.org/wiki/Fran_Hosken
230,"Her exact date of birth is uncertain; she was baptized on August 1, 1837.","Yake halisi tarehe ya kuzaliwa haifahamiki, alibatizwa tarehe 1 Agosti 1837.",Q107082,Mary Harris Jones,human rights activist,female,https://en.wikipedia.org/wiki/Mother_Jones
231,"In 1902, she was called ""the most dangerous woman in America"" for her success in organizing mine workers and their families against the mine owners.","Mwaka 1902 alijulikana na kuitwa ""mwanamke hatari katika Amerika"" kwa ajili ya mafanikio yake katika maandalizi ya mgodi na wafanyakazi na familia zao dhidi ya wamiliki wa migodi.",Q107082,Mary Harris Jones,human rights activist,female,https://en.wikipedia.org/wiki/Mother_Jones
232,"In 1903, to protest the lax enforcement of the child labor laws in the Pennsylvania mines and silk mills, she organized a children's march from Philadelphia to the home of President Theodore Roosevelt in New York.","Mwaka 1903, na maandamano ya lax ya utekelezaji wa mtoto na sheria za kazi katika Pennsylvania mines and silk mills, yeye alipanga maandamano ya watoto kutoka Philadelphia nyumba ya Rais Theodore Roosevelt huko New York.",Q107082,Mary Harris Jones,human rights activist,female,https://en.wikipedia.org/wiki/Mother_Jones
233,"Mary G. Harris was born on the north side of Cork, the daughter of Roman Catholic tenant farmers Richard Harris and Ellen  Harris.","Mary Harris Jones alizaliwa upande wa kaskazini wa mji wa Cork, Ireland, binti wa wakulima wa Roman Cantholic Richard Harris na Ellen Harris.",Q107082,Mary Harris Jones,human rights activist,female,https://en.wikipedia.org/wiki/Mother_Jones
234,She helped coordinate major strikes and co-founded the Industrial Workers of the World.,Yeye alisaidia kuratibu migomo mikubwa na mwanzilishi wa Wafanyakazi wa Viwanda Duniani.,Q107082,Mary Harris Jones,human rights activist,female,https://en.wikipedia.org/wiki/Mother_Jones
235,"Harris and her family were victims of the Great Famine, as were many other Irish families.","Harris na familia yake walikuwa waathirika wa Ukame wa Eire|Njaa Kubwa, kama zilivyokuwa familia nyingine nyingi za Ireland.",Q107082,Mary Harris Jones,human rights activist,female,https://en.wikipedia.org/wiki/Mother_Jones
236,"After Jones' husband and four children all died of yellow fever in 1867, and her dress shop was destroyed in the Great Chicago Fire of 1871, she became an organizer for the Knights of Labor and the United Mine Workers union.","Jones alifanya kazi kama mwalimu na mtengeneza mavazi, lakini baada ya mume wake na watoto wanne wote kufariki kwa homa ya manjano mnamo mwaka 1867 na duka lake la mavazi liliharibiwa na moto mkubwa, Chicago mwaka 1871, yeye alianza kufanya kazi kama mratibu kwa ajili ya Knights wa Kazi na Umoja wa Mgodi na Wafanyakazi wa muungano.",Q107082,Mary Harris Jones,human rights activist,female,https://en.wikipedia.org/wiki/Mother_Jones
237,"The famine drove more than a million families, including the Harrises, to immigrate to North America when Harris was 10.","Hii njaa ilifukuza zaidi mamlilioni ya familia, ikiwa ni pamoja na familia ya Harris, kuhamia Amerika ya Kaskazini ambapo Harris alikuwa mwenye umri wa miaka 10",Q107082,Mary Harris Jones,human rights activist,female,https://en.wikipedia.org/wiki/Mother_Jones
238,The couple has four children:,Wana watoto wanne:,Q200678,Queen Rania of Jordan,human rights activist,female,https://en.wikipedia.org/wiki/Queen_Rania_of_Jordan
239,"Six months later, on 10 June 1993, they were married.","Baada ya miezi sita, walioana mnamo 10 Juni 1993.",Q200678,Queen Rania of Jordan,human rights activist,female,https://en.wikipedia.org/wiki/Queen_Rania_of_Jordan
240,"She met Jordanian Abdullah bin Al-Hussein, who was a prince at that time, at a dinner party in January 1993.","Alikutana na Mfalme Abdullah bin Al-Hussein ,ambaye alikuwa mtot wa mfalme kipindi hicho, kwenye sherehe mnamo Januari 1993.",Q200678,Queen Rania of Jordan,human rights activist,female,https://en.wikipedia.org/wiki/Queen_Rania_of_Jordan
241,"Rania Al-Yassin was born on 31 August 1970 in Kuwait, to Palestinian parents.",Rania Al-Yassin alizaliwa nchini Kuwait tarehe 31 Agosti 1970 na wazazi wa Kipalestina,Q200678,Queen Rania of Jordan,human rights activist,female,https://en.wikipedia.org/wiki/Queen_Rania_of_Jordan
242,Forbes magazine has ranked her as one of the world's 100 most powerful women.,Jarida la Forbes limemtaja yeye kama mojawapo ya wanawake 100 majabari kote duniani.,Q200678,Queen Rania of Jordan,human rights activist,female,https://en.wikipedia.org/wiki/Queen_Rania_of_Jordan
243,He would finally sell his three bakeries and live from his books and lectures.,Akayauza maduka yake matatu ya mikate na kisha kuishi kwa vitabu vyake na fasihi.,Q91518,Rüdiger Nehberg,human rights activist,male,https://en.wikipedia.org/wiki/R%C3%BCdiger_Nehberg
244,"In 1972, together with two friends, one of whom was shot dead in an ambush, he became one of the first to travel the length of the Blue Nile in a home-made boat.","Mnamo 1972, akiwa na rafiki zake wawili, ambapo mmoja aliuwawa katika shambulizi la kushitukiza, Nehberg akawa miongoni mwa watu wa kwanza kusafiri kwenye urefu wa mto Naili ya bluu kwa kutumia mtumbwi uliotengenezwa nyumbani.",Q91518,Rüdiger Nehberg,human rights activist,male,https://en.wikipedia.org/wiki/R%C3%BCdiger_Nehberg
245,"Since 1980, he has been involved in defending the interests of the Yanomami Amerindian tribe.","Tangu 1980, amejihusisha na kulinda masilahi ya kabila la Yanomami lenye watu wa asili ya bara la Amerindia",Q91518,Rüdiger Nehberg,human rights activist,male,https://en.wikipedia.org/wiki/R%C3%BCdiger_Nehberg
246,"RÃ¼diger Nehberg, also known as 'Sir Vival',  was a German human rights activist, author and survival expert.","RÃ¼diger Nehberg, kwa jina jingine ""Sir Vival"" alikuwa ni mwanaharakati wa haki za binadamu kutoka Ujerumani, mwandishi na mtaalamu wa kuishi.",Q91518,Rüdiger Nehberg,human rights activist,male,https://en.wikipedia.org/wiki/R%C3%BCdiger_Nehberg
247,"After school, Nehberg initially became a pastry chef by trade, but increasingly turned his attention to outdoor survival.","Baada ya masomo, Nehberg alianza kwa kuwa mpishi wa keki kama biashara, lakini alizidi kuhamishia mawazo yake kuelekea kwenye kuishi nje .",Q91518,Rüdiger Nehberg,human rights activist,male,https://en.wikipedia.org/wiki/R%C3%BCdiger_Nehberg
248,"He was the founder and chairman of the anti-FGM organization TARGET, and chairman of the organizations Friends of Peoples Close to Nature  and Rettet den Regenwald .","Alikuwa mwanzilishi na mwenyekiti wa shirika la kupinga ukeketaji kwa wanawake liitwalo TARGET, na pia mwenyekiti wa mashirika ya Friends of Peoples Close to Nature na Rettet den Regenwald",Q91518,Rüdiger Nehberg,human rights activist,male,https://en.wikipedia.org/wiki/R%C3%BCdiger_Nehberg
249,"During the program, when asked by a doctor about whether he was afraid of death, he replied ""Â¿Y usted, doctor, no le tiene miedo a la muerte?""","Wakati wa kipindi hicho, alipoulizwa na daktari kwamba kama anaogopa kifo, alijibu ""Â¿Y usted, doctor, no le tiene miedo a la muerte?""",Q76888969,Roberto Jáuregui,human rights activist,male,https://en.wikipedia.org/wiki/Roberto_J%C3%A1uregui
250,"On January 13, 1994, JÃ¡uregui died of AIDS complications.","Mnamo Januari 13, mwaka 1994, JÃ¡uregui alikufa kwa ugonjwa wa UKIMWI.",Q76888969,Roberto Jáuregui,human rights activist,male,https://en.wikipedia.org/wiki/Roberto_J%C3%A1uregui
251,JÃ¡uregui also appeared on the telenovela Celeste to speak about living with HIV.,JÃ¡uregui pia alionekana kwenye telenovela Celeste akizugumza juu ya kuishi na VVU.,Q76888969,Roberto Jáuregui,human rights activist,male,https://en.wikipedia.org/wiki/Roberto_J%C3%A1uregui
252,"He publicly denounced the inequality of access to healthcare which he believed existed in Argentina at the time, bringing him into the public eye as an activist for public health and HIV/AIDS treatment.","Alishutumu hadharani ukosefu wa usawa wa upatikanaji wa huduma za afya ambapo aliamini kuwa ilikuwepo nchini Argentina wakati huo, na kujitokeza hadharani kama mwanaharakati wa afya ya umma na matibabu ya VVU / UKIMWI.",Q76888969,Roberto Jáuregui,human rights activist,male,https://en.wikipedia.org/wiki/Roberto_J%C3%A1uregui
253,"In 1989, JÃ¡uregui had contracted HIV, but did not have the money to pay for treatment.","Mnamo mwaka 1989, JÃ¡uregui alikuwa ameambukizwa VVU, lakini hakuwa na pesa za kulipia matibabu.",Q76888969,Roberto Jáuregui,human rights activist,male,https://en.wikipedia.org/wiki/Roberto_J%C3%A1uregui
254,"He appeared on the television show Hora Clave in 1993, where reporter Mariano Grondona asked JÃ¡uregui to give him a hug, publicly debunking the misconception that physical touch alone can transmit HIV.","Alionekana kwenye kipindi cha televisheni cha Hora Clave mnamo mwaka 1993, ambapo mwandishi Mariano Grondona alimkaribisha JÃ¡uregui kwa kumkumbatia, akionesha hadharani imani potofu kwamba kugusana kwa miili peke yake hakuwezi kusambaza VVU.",Q76888969,Roberto Jáuregui,human rights activist,male,https://en.wikipedia.org/wiki/Roberto_J%C3%A1uregui
255,This appearance was a result of UNICEF's strategy of using soap operas to educate about health issues.,Muonekano huu ulitokana na mkakati wa UNICEF wa kutumia tamthiliya kuelimisha juu ya maswala ya kiafya.=,Q76888969,Roberto Jáuregui,human rights activist,male,https://en.wikipedia.org/wiki/Roberto_J%C3%A1uregui
256,Morgan Richard Tsvangirai  was a Zimbabwean politician who was Prime Minister of Zimbabwe from 2009 to 2013.,Morgan Richard Tsvangirai alikuwa mwanasiasa wa Zimbabwe ambaye alikuwa Waziri Mkuu wa Zimbabwe kutoka mwaka 2009 hadi 2013.,Q57762,Morgan Tsvangirai,human rights activist,male,https://en.wikipedia.org/wiki/Morgan_Tsvangirai
257,He sustained non-life-threatening injuries in a car crash on 6 March 2009 when heading towards his rural home in Buhera.,Aliendeleza majeraha yasiyokuwa ya kutishia uhai katika ajali ya gari mnamo 6 Machi 2009 wakati akielekea nyumbani kwake vijijini huko Buhera.,Q57762,Morgan Tsvangirai,human rights activist,male,https://en.wikipedia.org/wiki/Morgan_Tsvangirai
258,He hoped that an all-inclusive stakeholders' meeting to chart the countryâs future and an internationally supervised process for the forthcoming elections would create a process that would take the country towards a legitimate regime.,Alitumaini kwamba mkutano wa wadau wote unaojumuisha kuorodhesha mustakabali wa nchi hiyo na mchakato unaosimamiwa kimataifa kwa uchaguzi ujao utaunda mchakato ambao utachukua nchi kuelekea serikali halali.,Q57762,Morgan Tsvangirai,human rights activist,male,https://en.wikipedia.org/wiki/Morgan_Tsvangirai
259,"On 14 February 2018, Tsvangirai died at the age of 65 after reportedly suffering from colorectal cancer.","Mnamo 14 Februari 2018, Tsvangirai alikufa akiwa na umri wa miaka 65 baada ya kuripotiwa kuugua saratani ya colorectal.",Q57762,Morgan Tsvangirai,human rights activist,male,https://en.wikipedia.org/wiki/Morgan_Tsvangirai
260,"His first wife, Susan Tsvangirai, was killed in the head-on collision.","Mkewe wa kwanza, Susan Tsvangirai, aliuawa kwenye ajali ya kugongana uso kwa uso",Q57762,Morgan Tsvangirai,human rights activist,male,https://en.wikipedia.org/wiki/Morgan_Tsvangirai
261,Tsvangirai claimed to have won a majority and said that the results could have been altered in the month between the election and the reporting of official results.,Tsvangirai alidai kuwa alishinda kwa wingi na akasema kwamba matokeo yangebadilishwa mwezi kati ya uchaguzi na ripoti ya matokeo rasmi.,Q57762,Morgan Tsvangirai,human rights activist,male,https://en.wikipedia.org/wiki/Morgan_Tsvangirai
262,"He later contested the first round of the 2008 presidential election as the MDC-T candidate, taking 47.8% of the vote according to official results, placing him ahead of Mugabe, who received 43.2%.","Baadaye aligombea kura ya kwanza ya uchaguzi wa rais wa 2008 kama mgombea wa MDC-T, akichukua 47.8% ya kura kulingana na matokeo rasmi, akawa mbele ya Mugabe, ambaye alipata asilimia 43.2.",Q57762,Morgan Tsvangirai,human rights activist,male,https://en.wikipedia.org/wiki/Morgan_Tsvangirai
263,"Tsvangirai initially planned to run in the second round against Mugabe, but withdrew shortly before it was held, arguing that the election would not be free and fair due to widespread violence and intimidation by government supporters that led to the deaths of 200 people.","Hapo awali Tsonga alipanga kukimbia katika mzunguko wa pili dhidi ya Mugabe, lakini aliondoka muda mfupi kabla ya kufanywa, akisema kwamba uchaguzi hautakuwa huru na wa haki kwa sababu ya vurugu zilizoenea na vitisho vya wafuasi wa serikali ambavyo vilisababisha vifo vya watu 200.",Q57762,Morgan Tsvangirai,human rights activist,male,https://en.wikipedia.org/wiki/Morgan_Tsvangirai
264,"He was President of the Movement for Democratic Change, and later the Movement for Democratic Change â Tsvangirai , and a key figure in the opposition to former President Robert Mugabe.","Alikuwa Rais wa Harakati ya Kidemokrasia, na baadaye Harakati za Kidemokrasia - Tsvangirai , na mtu muhimu katika upinzani wa Rais Robert Mugabe.",Q57762,Morgan Tsvangirai,human rights activist,male,https://en.wikipedia.org/wiki/Morgan_Tsvangirai
265,"Tsvangirai was the MDC candidate in the controversial 2002 presidential election, losing to Mugabe.","Tsvangirai alikuwa mgombea wa MDC katika uchaguzi wa rais wa mwaka 2002, na kushindwa na Mugabe.",Q57762,Morgan Tsvangirai,human rights activist,male,https://en.wikipedia.org/wiki/Morgan_Tsvangirai
266,"As the 2017 Zimbabwean coup d'Ã©tat occurred, Tsvangirai asked Mugabe to step down.","Wakati harakati za mapinduzi ya Zimbabwe zilipotokea, Tsvangirai aliomba Mugabe ajiuzulu.",Q57762,Morgan Tsvangirai,human rights activist,male,https://en.wikipedia.org/wiki/Morgan_Tsvangirai
267,"He is a founding member of the Islamic group ""Initiative muslimischer ÃsterreicherInnen"" .","Ni kati ya waanzilishi wa kikundi cha Kiislamu cha ""Initiative muslimischer ÃsterreicherInnen"".",Q701246,Tarafa Baghajati,human rights activist,male,https://en.wikipedia.org/wiki/Tarafa_Baghajati
268,"He has lived in Vienna, Austria since 1986.","Mzaliwa wa Syria, anaishi Vienna, Austria tangu mwaka 1986.",Q701246,Tarafa Baghajati,human rights activist,male,https://en.wikipedia.org/wiki/Tarafa_Baghajati
415,In 1997 Ghezali won the Sakharov Prize as well as the Olof Palme Prize.,Mnamo mwaka 1997 Ghezali alishinda tuzo ya Sakharov pamoja na Tuzo ya Olof Palme.,Q127304,Salima Ghezali,human rights activist,female,https://en.wikipedia.org/wiki/Salima_Ghezali
416,"A founding member of Women in Europe and the Maghreb, president of the association for the advancement of women, editor of the women's magazine NYSSA, which she founded, and editor of the French-language weekly La Nation, Salima Ghezali is an activist of women's rights and human rights and democracy in Algeria.","Salima Ghezali Ni mwana habari na mwandishi wa vitabu.Mwanachama mwanzilishi wa Wanawake huko ulaya na Maghreb, raisi wa chama cha maendeleo ya wanawake, na mhariri wa jarida la wanawake ""NYSSA"", ambalo alianzisha, na mhariri wa jarida la kila wiki la lugha ya Kifaransa ""La Nation"" , Salima Ghezali ni mwanaharakati wa haki za wanawake na haki za binadamu na demokrasia nchini Algeria.",Q127304,Salima Ghezali,human rights activist,female,https://en.wikipedia.org/wiki/Salima_Ghezali
417,"She has subsequently lived in India, the United Kingdom, and the United States, where she began her studies at the age of 17.","Baadae aliishi India, Uingereza, na Marekani, ambapo alianza masomo yake akiwa na umri wa miaka 17.",Q464924,Maryam Namazie,human rights activist,female,https://en.wikipedia.org/wiki/Maryam_Namazie
418,"Namazie was born in Tehran, but left with her family in 1980 after the 1979 revolution in Iran.","Namazie alizaliwa katika jiji la Tehran, lakini aliondoka na familia yake mnamo mwaka 1980 baada ya mapinduzi ya Irani ya mwaka 1979.",Q464924,Maryam Namazie,human rights activist,female,https://en.wikipedia.org/wiki/Maryam_Namazie
419,"Most of her early work focused on human rights violations against refugees, especially in Sudan, Turkey, and Iran, and she has actively campaigned against sharia law.","Maisha yake ya awali yalilenga kupinga ukiukwaji wa haki za binadamu dhidi ya wakimbizi, haswa katika nchi za Sudani, Uturuki, na Irani, na kwa bidii walifanya kampeni dhidi ya sheria za kiislamu .",Q464924,Maryam Namazie,human rights activist,female,https://en.wikipedia.org/wiki/Maryam_Namazie
420,Namazie became well known in the mid-2000s for her pro-secularism positions and her critique of the treatment of women under Islamic regimes.,Namazie alifahamika zaidi katikati ya miaka ya 2000 kwa sera zake za kijamaa na ukosoaji wake dhidi namna wanawake wanavyotendewa chini ya utawala kiislamu.,Q464924,Maryam Namazie,human rights activist,female,https://en.wikipedia.org/wiki/Maryam_Namazie
421,"Namazie is the spokesperson for Iran Solidarity, One Law for All, and the Council of Ex-Muslims of Britain and is a patron of the Association of Black Humanists.","Namazie ni msemaji wa mshikamano wa Irani , sheria moja kwa wote, na baraza la waliokuwa waislamu Waingereza na mlezi wa chama cha Association of Black Humanists.",Q464924,Maryam Namazie,human rights activist,female,https://en.wikipedia.org/wiki/Maryam_Namazie
422,"Maryam Namazie  is a British-Iranian secularist, communist and human rights activist, commentator, and broadcaster.","Maryam Namazie ni raia wa Uingereza na Iran, mkomunisti na mwanaharakati wa haki za binadamu, mchambuzi, na mtangazaji.",Q464924,Maryam Namazie,human rights activist,female,https://en.wikipedia.org/wiki/Maryam_Namazie
423,"Liu Xiaobo  was a Chinese writer, literary critic, human rights activist, philosopher and Nobel Peace Prize laureate who called for political reforms and was involved in campaigns to end communist one-party rule in China.","Liu Xiaobo alikuwa mwandishi wa China, mwanaharakati wa haki za binadamu, mwanafalsafa na mshindi wa Tuzo ya Nobel ya Amani ambaye alitoa wito wa mageuzi ya kisiasa na alikuwa amehusika katika kampeni za kumaliza utawala wa chama cha kikomunisti nchini China.",Q41617,Liu Xiaobo,human rights activist,male,https://en.wikipedia.org/wiki/Liu_Xiaobo
424,"On 26 June 2017, he was granted medical parole after being diagnosed with  liver cancer, and died a few days later on 13 July 2017.","Mnamo 26 Juni 2017, alipewa matibabu baada ya kugunduliwa ana saratani ya ini na alikufa tarehe 13 Julai 2017.",Q41617,Liu Xiaobo,human rights activist,male,https://en.wikipedia.org/wiki/Liu_Xiaobo
425,He protested construction of a hotel.,Alipinga ujenzi wa hoteli.,Q106604621,Kevin Mtai,human rights activist,male,https://en.wikipedia.org/wiki/Kevin_Mtai
426,He is co-founder of Kenya Environmental Activists Network .,Ni mwanzilishi mwenza wa mtandao wa wanaharakati wa mazingira wa Kenya Environmental Activists Network .,Q106604621,Kevin Mtai,human rights activist,male,https://en.wikipedia.org/wiki/Kevin_Mtai
427,"In 2020, as an activist from a MAPA , he organized more FridaysForFuture climate strikes.","Mnamo 2020, kama mwanaharakati kutoka Most Affected Peoples and Areas , aliandaa migomo zaidi ya hali ya hewa ya FridaysForFuture.",Q106604621,Kevin Mtai,human rights activist,male,https://en.wikipedia.org/wiki/Kevin_Mtai
428,"Kevin Mtai  is a Kenyan climate activist, and microbiologist.",Kevin Mtai ni mwanaharakati wa hali ya hewa na mwanabiolojia kutoka Kenya.,Q106604621,Kevin Mtai,human rights activist,male,https://en.wikipedia.org/wiki/Kevin_Mtai
429,He is a regional developer for One Up Action.,Ni msanidi programu wa kanda kwa One Up Action.,Q106604621,Kevin Mtai,human rights activist,male,https://en.wikipedia.org/wiki/Kevin_Mtai
430,He is Africa Continental Coordinator for Earth Uprising.,Ni mratibu wa Earth Uprising kwa Bara la Afrika.,Q106604621,Kevin Mtai,human rights activist,male,https://en.wikipedia.org/wiki/Kevin_Mtai
560,She visited the United States in 1906 and took her first and last car ride.,Aliwasili Marekani mwaka wa 1906 na alichukua gari lake la kwanza na la mwisho katika maisha yake.,Q234572,Elizabeth Blackwell,human rights activist,female,https://en.wikipedia.org/wiki/Elizabeth_Blackwell
561,"She had two older siblings, Anna and Marian, and would eventually have six younger siblings: Samuel , Henry , Emily , Sarah Ellen , John and George.","Samuel alikuwa na ndugu wawili wazee, Anna na Marian, na hatimaye kuwa na ndugu zao sita: Samuel , Henry , Emily , Sarah Ellen , John na George.",Q234572,Elizabeth Blackwell,human rights activist,female,https://en.wikipedia.org/wiki/Elizabeth_Blackwell
562,"Born into slavery, Tubman escaped and subsequently made some 13 missions to rescue approximately 70 enslaved people, including family and friends, using the network of antislavery activists and safe houses known as the Underground Railroad.","Tubman alikimbia na hatimaye akafanya safari 13 ambako alirudi katika majimbo ya utumwa ili kuokoa familia 70 za waliokuwa watumwa, kutumia mtandao wa wanaharakati waliopinga utumwa na nyumba salama iliweza kujulikana kama ""reli ya chini ya ardhi"".",Q102870,Harriet Tubman,human rights activist,female,https://en.wikipedia.org/wiki/Harriet_Tubman
563,"At nine years old he immigrated with his family to Brooklyn, New York, and ultimately settled in East Orange and Newark, New Jersey.","Alihama yeye na familia yake na kuelekea zao mjini Brooklyn, New York akiwa na umri wa miaka tisa, na kisha baadaye kuelekea zao New Jersey.",Q202663,Wyclef Jean,human rights activist,male,https://en.wikipedia.org/wiki/Wyclef_Jean
564,"Nel Ust Wyclef Jean  is a Haitian rapper, musician and actor.","Nelust Wyclef Jean ni mwanamuziki, mwigizaji, mtayarishaji wa Kihaiti-Kiamerika.",Q202663,Wyclef Jean,human rights activist,male,https://en.wikipedia.org/wiki/Wyclef_Jean
565,He was paroled in 2010.,Aliachiwa huru mnamo 2010,Q43303,Malcolm X,human rights activist,male,https://en.wikipedia.org/wiki/Malcolm_X
392,"Below is a selected list of Driscoll's work, sorted mostly by recording date:","Chini ni orodha ilichaguliwa ya kazi za Driscoll, zilizopangwa zaidi kwa tarehe ya kurekodi:",Q275641,Julie Driscoll,jazz musician,female,https://en.wikipedia.org/wiki/Julie_Driscoll
393,An asterisk  indicates that the year is that of release.,Alama ya nyota inaashiria kwamba mwaka ni ule wa kuzinduliwa,Q462219,Patricia Barber,jazz musician,female,https://en.wikipedia.org/wiki/Patricia_Barber
394,"Armando Anthony ""Chick"" Corea  was an American jazz composer, keyboardist, bandleader, and occasional percussionist.","Armando Anthony ""Chick"" Corea alikuwa mwanamuziki wa Marekani.",Q192465,Chick Corea,jazz musician,male,https://en.wikipedia.org/wiki/Chick_Corea
395,"Charles Parker Jr. , nicknamed ""Bird"" and ""Yardbird,"" was an American jazz saxophonist, band leader and composer.","Charles Parker, Jr. alikuwa mwanamuziki wa Marekani maarufu kama ""Bird"" ama ""Yardbird""",Q103767,Charlie Parker,jazz musician,male,https://en.wikipedia.org/wiki/Charlie_Parker
496,An asterisk  indicates that the year is that of release.,Alama ya nyota inaashiria kwamba mwaka ni ule wa uzinduzi,Q462219,Patricia Barber,jazz musician,female,https://en.wikipedia.org/wiki/Patricia_Barber
497,"Armando Anthony ""Chick"" Corea  was an American jazz composer, keyboardist, bandleader, and occasional percussionist.","Armando Anthony ""Chick"" Corea alikuwa mwanamuziki wa Marekani.",Q192465,Chick Corea,jazz musician,male,https://en.wikipedia.org/wiki/Chick_Corea
200,Her feast day is 2 May.,Sikukuu yake huadhimishwa tarehe 2 Mei.,Q438362,Wiborada,librarian,female,https://en.wikipedia.org/wiki/Wiborada
201,His feast day is celebrated on June 1.,Sikukuu yake husherehekewa tarehe 1 Juni.,Q1855156,Pamphilus of Caesarea,librarian,male,https://en.wikipedia.org/wiki/Pamphilus_of_Caesarea
531,Suzanne Bachelard  was a French philosopher and academic.,Suzanne Bachelard alikuwa ni mwanafilosofia na mtaaluma wa Ufaransa.,Q3505892,Suzanne Bachelard,linguist,female,https://en.wikipedia.org/wiki/Suzanne_Bachelard
532,"She taught at the Sorbonne, where she also had Jacques Derrida as her assistant.She was the first translator to French of Edmund Husserl Formal and Transcendental Logic.",Alifundisha katika shule ya Soborne ambapo pia alikuwa na Jacques Derrida akiwa kama msaidizi. Alikuwa mfasiri wa kwanza kwa ufaransa wa Edmund Husserl Formal na Transcendental Logic,Q3505892,Suzanne Bachelard,linguist,female,https://en.wikipedia.org/wiki/Suzanne_Bachelard
533,FrÃ©dÃ©ric Mistral  was a French writer of Occitan literature and lexicographer of the ProvenÃ§al form of the language.,FrÃ©dÃ©ric Mistral alikuwa mwandishi ya fasihi ya Occitan na mwanaleksikografia wa ProvenÃ§al form of the language wa kutoka nchi ya Ufaransa.,Q42596,Frédéric Mistral,linguist,male,https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Mistral
534,"Mistral strove to rehabilitate the language of Provence, while carrying it to the highest summits of epic poetry.",Hasa alijishughulikia na kufufua lugha ya Provence inayozungumzwa sehemu za Kusini za Ufaransa.,Q42596,Frédéric Mistral,linguist,male,https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Mistral
723,"Another book, Les Impatients, followed the next year.","Kitabu kingine, Les Impatients, kichapishwa mwaka uliofuata.",Q157313,Assia Djebar,linguist,female,https://en.wikipedia.org/wiki/Assia_Djebar
724,"Also in 1958, she and Ahmed Ould-RouÃ¯s began a marriage that would eventually end in divorce.","Pia mnamo mwaka wa 1958, yeye na Ahmed Ould-RouÃ¯s walianza ndoa ambayo mwishowe iliisha alipotalakiwa.",Q157313,Assia Djebar,linguist,female,https://en.wikipedia.org/wiki/Assia_Djebar
